neuron_id,soma_depth,dendrite_volume,axon_volume,dendrite_vertical_extent,axon_vertical_extent,spike_frequency,spike_frequency_adaptation
20140212B,0.797781117,0.006,0.020423169,0.24199,0.88913,35.30917597,91.7148604
20140213F,0.730777731,0.0085,0.039172308,0.2732,1.03405,24.60464804,98.68569657
20140219A,0.763402322,0.007,0.03984192,0.2301204,1.26797,19.69473166,99.94416639
20140224A,0.750279378,0.00375,0.05089052,0.19633,0.90439,37.9706782,66.51447975
20140226A,0.720726322,0.011,0.063278344,0.57509,1.2116,59.01321474,45.75082697
20150106A,0.706573445,0.006,0.036159054,0.31016,0.9688,25.27539651,97.74681597
20150112A,0.778801369,0.008,0.034150217,0.3381,0.8184,31.02891895,99.97333052
20150319A,0.675729599,0.00675,0.055242999,0.30765,1.25973,25.70231578,96.69056665
20150330C,0.679245893,0.0085,0.038837502,0.367545,1.468041,27.41353315,99.67789423
20150330E,0.811289645,0.00925,0.047542459,0.416107,1.275647,29.11599364,93.70064053
20150410A,0.65506604,0.00675,0.03649386,0.27285,0.92796,46.82943443,43.10418807
20150416A,0.755171119,0.007,0.042520369,0.30435,0.89113,27.21211846,97.20466929
20150721A,0.756136148,0.0085,0.034485023,0.67113,1.33338,10.05454591,99.99865345
20150925A,0.764552336,0.008,0.058591059,0.53877,1.737,53.32927015,99.94177408
20160115E,0.652196544,0.008,0.048881684,0.3268702,1.13969,32.82994091,96.46124195
20160201B,0.634490167,0.0075,0.030467351,0.3416598,0.88158,35.64763363,58.63573835
20160212C,0.60876356,0.00825,0.042855175,0.28514,0.93007,19.31454815,99.99665328
20160311D,0.629012953,0.012,0.046538041,0.50664,0.79426,23.06645446,99.86130021
20160620B,0.773137147,0.0075,0.04921649,0.27855,1.16939,40.27727726,80.35459846
20170406B,0.671266436,0.007,0.023101618,0.33067,0.62196,45.00357983,60.08226365
20170412A,0.721737049,0.00875,0.028458514,0.92203,0.78564,43.57488344,65.01716243
20170419I,0.694506589,0.00675,0.033815411,0.2732703,1.13176,27.94727281,99.04845436
20170419L,0.764680974,0.006,0.043524787,0.335056,1.561991,29.04443799,95.29592867
20170425A,0.821902674,0.00925,0.055912611,0.7717,0.72838,58.61901682,46.01700486
20170426E,0.761573999,0.01025,0.053903774,0.42747,1.10111,37.69870358,82.44954446
20170509E,0.720377432,0.00975,0.04151595,0.48443,0.89791,31.76216491,99.98520924
20170512F,0.75139526,0.016,0.095084919,0.88316,1.28115,48.99663414,74.1203984
20170519B,0.680006217,0.0095,0.069974465,0.48876,1.59778,32.86950805,99.34974202
20120816A,0.831209352,0.0065,0.034485023,0.4496284,1.044768,7.21171182,98.9457063
20170630B,0.687351947,0.008,0.025780066,0.5916375,1.125933,41.29387474,68.14694974
20110106B,1.074823006,0.008,0.043189981,0.423155,0.787442,,
20110110B,1.339664067,0.007,0.055912611,0.440819,1.24279,,
20120105A,0.832876631,0.0105,0.058925865,0.4057352,1.096799,35.37318712,86.69070359
20120105C,0.918000113,0.0075,0.06528718,0.3759127,1.412848,28.91606081,96.11169313
20120106A,0.840325676,0.007,0.017075109,0.2905501,0.500491,93.73599054,5.393488583
20120106B,0.937474576,0.0075,0.030802157,0.278021,0.4902287,70.40357816,13.11853823
20120106C,0.920820233,0.00825,0.019418751,0.219682,0.273866,76.04875342,13.98506782
20120106D,1.017582669,0.009,0.033480605,0.43869,1.1084,79.76438827,7.667986713
20120106E,0.997661108,0.02225,0.103120264,1.116711,1.437479,64.50225758,51.55160002
20120530A,0.828667593,0.008,0.067965629,0.4727818,1.280936,87.52467992,22.80770269
20120530B,0.785184893,0.0055,0.015066272,0.310363,0.514086,94.17738105,19.22292296
20120603A,0.916496296,0.00675,0.063947956,0.3388887,1.733422,54.10669841,53.02058417
20120604A,0.892194163,0.00825,0.029797739,0.3158842,0.4373689,87.56032499,17.49508614
20120605A,1.000865161,0.00925,0.023436424,0.318684,0.43732,217.2968275,29.24618651
20120605B,0.89668408,0.0145,0.048546878,0.670788,1.105685,31.75035152,96.20129446
20120605C,0.964332,0.01125,0.03816789,0.729816,0.883983,87.24941157,-13.54799166
20120605D,0.962387976,0.008,0.033815411,0.319463,0.4499605,82.41475224,23.4002206
20120605E,1.259160318,0.0045,0.019418751,0.268996,0.66895,39.74729091,51.56070177
20120605F,0.979796636,0.003,0.020088363,0.15265,0.514617,45.28146547,61.29035766
20120605G,0.96977875,0.0115,0.06528718,0.4431105,1.623544,76.39419404,8.930573771
20120605H,0.960452609,0.00725,0.022766812,0.3594539,0.4927146,148.0604086,13.36916678
20070728B,1.190375365,0.01075,0.040846338,0.5425,0.560959,90.1534808,23.22359191
20070730A,1.130017728,0.00425,0.035824248,0.30403,0.6532562,90.08824553,13.83410698
20070730D,1.349721242,0.0105,0.070309271,0.581228,1.449238,34.34301806,99.70918196
20070730E,1.174213925,0.00925,0.041850757,0.559618,1.211725,61.55223547,71.14038806
20070731B,1.15709799,0.0035,0.060599895,0.250859,0.778611297,85.25668352,12.21149706
20070807A,1.311924483,0.01275,0.088388798,0.649332,1.813109,23.50065802,93.71570287
20070807B,1.176659709,0.01125,0.088723604,0.685966,1.562711,65.03360069,71.037182
20070807D,1.078820361,0.009,0.030802157,0.464557,0.829363,121.8026797,29.66804979
20070809A,1.057227802,0.0105,0.065956792,0.385018,1.510374,31.57097154,89.98752402
20070809B,1.144007805,0.0085,0.045533623,0.523949,1.22239,13.25381047,99.99986929
20070809D,1.286761161,0.00825,0.049886102,0.577113,1.49486,36.38464996,83.36509174
20070815B,1.236183032,0.008,0.057251835,0.482773,1.598475,68.95494943,52.48486897
20070815C,1.291775167,0.0065,0.038502696,0.481549,0.874281,46.41056473,49.99348918
20070817D,1.243361224,0.00675,0.031471769,0.311419,0.73500761,13.52204093,99.99999723
20070903B,1.193431208,0.0105,0.072318107,0.472959,1.518703,61.78433149,49.95364582
20071009C,1.196782555,0.00575,0.039507114,0.43041,1.326205,74.21915266,17.46259262
20071010A,1.213216783,0.007,0.048546878,0.338554,0.800665,37.07670759,71.55218626
20071025A,1.335914658,0.00575,0.04921649,0.413579,1.204604,61.17455139,54.22864445
20071103A,1.276333615,0.009,0.073992138,0.609312,0.95942,83.66100561,12.69585828
20071104C,1.151996785,0.005,0.03649386,0.375059,0.7413232,88.11294851,15.39700884
20071104D,1.154295492,0.0135,0.033145799,0.566336,0.459949,86.71146759,41.16947841
20071109B,1.178331546,0.01425,0.072318107,0.660106,1.188472,50.5007996,79.02822179
20071109C,1.276010546,0.0075,0.025110454,0.311234,0.677211,79.79784546,29.36367013
20071114B,1.263454258,0.00875,0.042520369,0.422813,1.27285,57.3441468,35.50245613
20071115A,1.158866904,0.0065,0.027454096,0.490169,0.422059,79.87220447,21.31577087
20071115B,1.122751095,0.0115,0.060599895,0.553692,1.510879,32.22133912,97.56214437
20071116A,1.201023283,0.0105,0.047207653,0.445305,1.443243,48.13477738,88.47551991
20080813A,1.309373787,0.01275,0.049886102,0.675718,1.024913,20.49495312,99.61358396
20080816A,1.303972918,0.00975,0.096089337,0.657265,1.529023,44.10745416,66.28044659
20080816D,1.228460907,0.01225,0.025110454,0.5279,0.489542,56.9904948,49.00912906
20080822B,0.995527751,0.00775,0.015401078,0.318073,0.380353,66.36938712,26.49022114
20080826A,1.250215004,0.00675,0.029797739,0.349066,0.608647,88.60841564,24.4163266
20080826B,1.197163839,0.01075,0.097428561,0.520303,1.39464,43.48456298,84.24496644
20080826D,1.201044422,0.00375,0.041181144,0.176619,0.9231074,34.43944735,70.32330737
20080827B,1.324788871,0.00675,0.038502696,0.612411,0.731071,85.8524242,13.41800878
20080827C,1.064011052,0.011,0.065956792,0.556265,1.670614,36.76391082,92.19766266
20080902A,1.22685546,0.008,0.024106036,0.379966,0.407272,34.98662276,63.33283735
20080902B,1.150559953,0.0075,0.047207653,0.470923,1.361125,34.43874967,89.8711818
20080903A,1.115081796,0.009,0.057251835,0.502889,0.727388,85.30470424,4.738919752
20080903D,1.174287641,0.01075,0.046538041,0.353941,0.990806,11.77357069,99.9991484
20080909B,1.178663219,0.00775,0.047877265,0.283859,1.240733,40.80383556,94.22468908
20080911A,1.444386995,0.01225,0.041181144,0.658159,0.695354,172.3333942,17.22250358
20080911B,1.335148434,0.014,0.029797739,0.594494,0.552271,104.9987647,9.283346263
20080911C,1.046921305,0.01125,0.072652913,0.510884,1.482792,26.3747857,99.88808265
20080913A,1.329472362,0.00975,0.046872847,0.568766,0.8188621,31.4303033,89.05761923
20080913C,1.239305851,0.00775,0.056582223,0.444424,0.9221731,78.38283828,15.7959696
20080913D,1.326126881,0.01125,0.048881684,0.40291,1.435346,54.21410401,76.65321549
20080926B,1.099274666,0.0125,0.033815411,0.570417,0.684117,70.17688704,27.32831872
20080926E,1.289825671,0.0125,0.02879332,0.526324,0.542064,77.11977919,22.47545085
20080928B,1.252926623,0.0085,0.02711929,0.537832,0.539917,72.63405255,37.75368638
20080929A,1.176295953,0.0125,0.043189981,0.482157,0.488373,57.02458393,45.30572002
20080929C,1.205858234,0.0105,0.03984192,0.594809,0.6368283,70.82300498,27.04667674
20081001A,1.308704713,0.01225,0.066626404,0.67986,1.148912,59.23418659,40.60828706
20081001B,1.209343953,0.01075,0.025780066,0.578566,0.483774,83.11861026,12.25738327
20081001C,1.119524336,0.01175,0.037498278,0.396943,0.4451386,46.18632885,3.803471416
20081006C,1.111011712,0.0075,0.061269508,0.230271,1.360134,38.24435896,86.78406728
20081010B,1.314104647,0.013,0.040511532,0.610334,0.874855938,22.94104152,99.68720624
20110124A,1.571127377,0.017,0.092741276,0.891098,1.459057,133.744022,59.13803821
20110125A,1.568205061,0.01475,0.067965629,0.541503,1.05523,113.9624331,49.67171166
20110125B,1.577258594,0.015,0.082362289,0.564761,1.925161,116.7659849,62.49627208
20110125C,1.55798651,0.01875,0.114168864,0.550051,1.715516,92.81304225,68.11482004
20110131A,1.439868148,0.0075,0.064617568,0.397531,1.424891,128.9620569,36.98759941
20110207A,1.51050647,0.01375,0.062273926,0.56501,1.155682,101.325503,53.50096772
20110207B,1.590376421,0.01175,0.045533623,0.569277,0.762659,131.728275,20.59323796
20110209B,1.430170054,0.01125,0.048881684,0.643898,1.7089,69.84026855,73.91154017
20110211A,1.610913591,0.00625,0.068635241,0.50589,1.000099,126.234348,46.93810047
20110301A,1.358036141,0.015,0.06361315,0.644496,1.759271,66.6437789,54.73641437
20110303A,1.558892534,0.016,0.068970047,0.658432,1.138359,75.90054977,66.37571982
20110303B,1.57949479,0.01075,0.058591059,0.365851,0.9236782,78.2396088,2.092249908
20110303C,1.568550743,0.017,0.070309271,0.742198,1.844127,83.58987951,64.16898715
20110309B,1.379513172,0.009,0.05423858,0.435717,1.453409,86.8252951,78.89856669
20110310C,1.463549874,0.0105,0.046538041,0.548881,0.891729,104.4953489,8.365811373
20110425A,1.40633848,0.0125,0.072318107,0.448402,0.9221826,74.24976797,30.03652785
20110425B,1.535138541,0.021,0.063947956,0.746184,1.372702,92.95984135,4.783113385
20110426A,1.639540792,0.01275,0.07800981,0.611096,1.947825,93.25899645,42.61601342
20110428A,1.614845623,0.0115,0.061604314,0.440963,1.046224,120.0480192,27.92266682
20110429C,1.586440425,0.016,0.069639659,0.702993,1.3425608,107.2440308,5.630251616
20110429D,1.526759934,0.01475,0.085710349,0.509436,1.592996,71.081866,58.19384642
20110516A,1.428585029,0.014,0.032810993,0.711994,0.715048,74.4238567,26.83657233
20110517A,1.748845545,0.0085,0.042520369,0.400482,0.559754,96.82935372,8.139829325
20110517C,1.687725993,0.0135,0.059595477,0.381227,0.847824,68.6651074,46.33536214
20110523A,1.609909142,0.008,0.051894938,0.366024,0.755496,79.9131201,41.4955092
20110525A,1.464346135,0.00775,0.060599895,0.444815,1.09620228,85.89659686,35.65527141
20110526A,1.703025625,0.007,0.031806575,0.258805,0.491432,95.57702084,12.43113019
20110530A,1.353549265,0.00725,0.024440842,0.290533,1.002133,100.2742193,17.66847713
20110606A,1.547861337,0.01,0.033145799,0.479405,0.667475,120.4794674,-4.733942471
20110613B,1.53706719,0.01475,0.049886102,0.632962,1.082919,84.59189568,7.411730759
20110614B,1.565787427,0.00775,0.051894938,0.629314,1.320602,135.9136644,12.99785116
20110705A,1.69240375,0.02125,0.053568968,0.437715,1.2497494,67.31032162,57.5185888
20110705B,1.652038004,0.01125,0.054573387,0.610881,1.249363,71.65376899,20.14571446
20110706A,1.684070671,0.013,0.03816789,0.469058,0.43054,76.90389092,29.52819469
20110707A,1.49026697,0.01175,0.052229744,0.484052,1.2753986,40.01066951,87.47782212
20110822C,1.548796237,0.00975,0.091067246,0.448589,1.3298,39.59900794,68.18450699
20110830A,1.436555325,0.01475,0.058256253,0.7322899,0.714627,59.31323744,31.49257527
20110913A,1.468956626,0.00625,0.033145799,0.337926,0.664581,41.86815717,62.66692374
20110920A,1.691733633,0.00975,0.033815411,0.795414,0.781382,94.45197322,6.805110054
20110920B,1.507367408,0.0115,0.080353453,0.34516,1.2370923,40.62780653,79.173566
20110923B,1.35084382,0.00575,0.029797739,0.411129,0.686477,85.21862636,24.14069761
20110928A,1.593209353,0.00575,0.043189981,0.347683,1.009109,71.28309572,24.54545913
20111003A,1.686144218,0.01025,0.046538041,0.598208,0.667839,100.6542526,10.81249476
20111005A,1.467264169,0.015,0.071648495,0.710184,1.094014,28.61912712,99.75642013
20111005B,1.617498991,0.0105,0.055242999,0.505083,0.935455,54.97638052,31.84539787
20111025B,1.681274185,0.0125,0.034819829,0.391742,0.607789,106.2487549,2.536256732
20111026B,1.638141742,0.0035,0.068635241,0.219656,1.788206,89.96568751,14.82990527
20111102B,1.649003528,0.01225,0.060599895,0.400889,0.715568,83.53708231,55.71109662
20111122A,1.628942962,0.01025,0.097763367,0.47822,1.625835,113.2983997,9.795127247
20111207C,1.587351254,0.00925,0.060265089,0.506161,1.562916,82.73635355,27.5250386
20111209A,1.536161227,0.01425,0.084371125,0.511964,1.1339895,30.24498437,97.40986985
20111212A,1.56725923,0.0145,0.042520369,0.538226,0.844957,63.20725864,91.65033613
20111213A,1.716131747,0.00925,0.056917029,0.288002,0.829836,38.87437099,69.05255012
20111213B,1.490385705,0.009,0.067630823,0.372159,1.730137,14.10715797,99.99996314
20111214B,1.484895142,0.0155,0.055577805,0.657722,1.006713,60.43623977,60.6212804
20111215A,1.492708338,0.0115,0.087719186,0.579335,0.914775,85.47182482,20.18883357
20111215B,1.691053589,0.006,0.042520369,0.474069,0.713425,41.99739616,54.75193122
20111219B,1.650753173,0.00375,0.026114872,0.186477,0.497174,38.83746521,67.63005388
20111219C,1.546136066,0.008,0.031136963,0.394879,0.677593,88.33377843,8.153084124
20120111B,1.691166691,0.0125,0.037498278,0.679039,0.42848,98.96091044,-5.59664682
20120116A,1.410047693,0.0115,0.024775648,0.572424,0.612285,122.4165017,2.91997916
20120118B,1.58001113,0.00375,0.016070691,0.135388,0.394237,45.40482529,39.36634881
20120119B,1.548681781,0.0155,0.03649386,0.591933,0.698047,94.44009082,46.74037981
20120120B,1.44386962,0.02225,0.033815411,0.796784,0.525982,41.28052179,81.48921296
20120123A,1.529355569,0.0135,0.059595477,0.571397,1.2065148,110.0827659,26.29583728
20120201A,1.44965311,0.01275,0.067296016,0.434199,0.9084138,36.33134184,74.92081297
20120215A,1.702991352,0.00725,0.027454096,0.308122,0.366689,135.4707609,0.199959879
20120215B,1.703850527,0.0025,0.016070691,0.194632,0.377262,76.68319616,24.84106578
20150311C,1.511075159,0.01125,0.090397634,0.390649,1.335697,38.64651323,87.80439674
