neuron_id,dendrite_vertical_extent,axon_vertical_extent,spike_frequency
1058193059,0.4521870551,0.7935112831,
907597822,0.2308500073,0.7320705322,29.201140234999652
1072170652,0.5863133573,1.581021157,
819206421,0.3892474336,0.6513582919,
720881002,0.5304538242,0.6970551513000001,76.88045435655906
643397120,0.5687905943,0.5710612381,25.75107296137339
1041074452,0.46284766239999997,1.0837427640000001,
720841879,0.6113067181999999,0.7454699431,94.0567066521265
732127116,1.020075017,1.488639348,75.79896203223163
695505884,0.7487914220999999,1.0529450260000002,203.1602708803612
766984328,0.07971910676,0.506672441,54.82604575605794
966910744,0.4642315167,0.7029457584000001,
855540802,0.2404401165,1.0397274950000002,
770622754,0.6612700675,1.033375254,40.577096483318314
1037461069,0.5246677337,1.506008627,
656933853,0.412100865,0.5442600518,50.22930770910679
695574463,0.5618499634999999,1.066676205,90.3800068469702
1065913190,0.6235366467,1.04425263,
732058780,0.7089469460000001,1.314480096,17.91847095714499
811984547,0.7149005649,1.488519176,30.40393803387867
689360084,0.6449027785,0.9787273203,147.783251231527
1049237275,0.6023368172000001,0.638504324,
685790763,0.5385454919,0.7176041289,17.669145255098282
835674226,0.17230191160000002,0.7161059976999999,72.5338491295938
720885760,0.2828484115,0.561022518,73.67487550310389
805772880,0.5746692732,1.340681781,
685821059,0.7241906228,1.350317997,47.16981132075471
751208741,0.7083361857999999,1.325585657,11.873350923482848
1037948195,0.3565800881,1.467447061,
758996755,0.5566264426,0.5285959873,51.36253388500498
889787076,0.2877190559,0.9516309641,87.84473953013278
868145983,0.5156938186,0.6774008112000001,45.47751389590703
819185246,0.2605287538,0.5959832536,
1077530486,0.4416899256,1.1755575349999998,
855488261,0.6651819556,1.7576570440000001,
797048104,0.6909952331,1.1275439100000002,
893412652,0.8885055334999999,0.7108687483999999,
914354833,0.4726638376,1.592692951,
1067605482,0.41597514589999995,1.273202978,
