neuron_id,morph_status,ephys_status,normalized_soma_depth,layer,m_type,e_type,m_cluster,e_cluster,me_cluster,mol_id,pred_mol_id
20170509E,complete,available,0.381758045,L4,Large Basket,Adapting,10,7,11,SST+,SST+
20170512F,complete,available,0.398195686,L4,Martinotti,Regular spiking,2,7,10,,SST+
20170519B,complete,available,0.360363655,L4,Bitufted,Adapting,10,7,10,,SST+
20120816A,complete,available,0.440492502,L4,Bitufted,Adapting,9,2,12,,SST+
20170630B,complete,available,0.364256464,L4,Bitufted,Adapting,4,2,18,,VIP+
20110106B,complete,missing,0.569593538,L5,Large Basket,,11,,,,
20110110B,complete,missing,0.709943862,L5,Translaminar,,19,,,,
20120105A,complete,available,0.441376063,L4,Martinotti,Adapting,15,7,10,,SST+
20120105C,complete,available,0.486486546,L5,Martinotti,Adapting,12,7,10,,PV+
20120106A,complete,available,0.445323622,L4,Small Basket,Fast spiking,6,10,5,,PV+
20120106B,complete,available,0.496806876,L5,Large Basket,Fast spiking,12,10,5,,PV+
20120106C,complete,available,0.487981046,L5,Large Basket,Fast spiking,12,10,5,,PV+
20120106D,complete,available,0.539259496,L5,Large Basket,Fast spiking,12,10,5,,PV+
20120106E,complete,available,0.52870223,L5,Large Basket,Fast spiking,14,7,25,,PV+
20120530A,complete,available,0.439145518,L4,Martinotti,Fast spiking,12,10,5,,PV+
20120530B,complete,available,0.416102222,L4,Small Basket,Fast spiking,6,10,3,,PV+
20120603A,complete,available,0.485689611,L5,Martinotti,Regular spiking,15,7,10,,VIP+
20120604A,complete,available,0.472810897,L5,Large Basket,Fast spiking,12,10,5,,PV+
20120605A,complete,available,0.530400191,L5,Large Basket,Irregular spiking,12,1,6,,PV+
20120605B,complete,available,0.475190291,L5,Martinotti,Adapting,2,7,10,,SST+
20120605C,complete,available,0.511039745,L5,Large Basket,Fast spiking,12,13,5,,PV+
20120605D,complete,available,0.510009526,L5,Large Basket,Fast spiking,12,10,5,,PV+
20120605E,complete,available,0.667281567,L5,Neurogliaform,Regular spiking,5,7,20,,PV-/SST-/VIP-
20120605F,complete,available,0.519235101,L5,Small Basket,Regular spiking,5,7,20,,PV-/SST-/VIP-
20120605G,complete,available,0.513926205,L5,Martinotti,Fast spiking,12,10,5,,PV+
20120605H,complete,available,0.508983894,L5,Small Basket,Irregular spiking,12,1,6,,PV+
20070728B,complete,available,0.630829552,L5,Large Basket,Fast spiking,11,10,5,,PV+
20070730A,complete,available,0.598843523,L5,Large Basket,Fast spiking,11,10,5,,PV+
20070730D,complete,available,0.715273578,L6,Martinotti,Irregular spiking,13,6,16,,SST+
20070730E,complete,available,0.622264931,L5,Large Basket,Adapting,5,2,22,,VIP+
20070731B,complete,available,0.613194483,L5,Large Basket,Fast spiking,11,10,5,,VIP+
20070807A,complete,available,0.695243499,L5,Martinotti,Irregular spiking,15,2,13,,SST+
20070807B,complete,available,0.623561054,L5,Martinotti,Irregular spiking,15,1,13,,SST+
20070807D,complete,available,0.571711903,L5,Large Basket,Irregular spiking,11,1,6,,PV+
20070809A,complete,available,0.560269105,L5,Martinotti,Regular spiking,15,7,14,,SST+
20070809B,complete,available,0.606257448,L5,Large Basket,Irregular spiking,11,6,22,,VIP+
20070809D,complete,available,0.681908405,L5,Martinotti,Irregular spiking,15,7,14,,SST+
20070815B,complete,available,0.655104945,L5,Martinotti,Adapting,20,2,13,,SST+
20070815C,complete,available,0.684565536,L5,Large Basket,Regular spiking,11,7,19,,VIP+
20070817D,complete,available,0.658908969,L5,Large Basket,Adapting,20,5,13,,VIP+
20070903B,complete,available,0.632448971,L5,Martinotti,Fast spiking,15,7,14,,SST+
20071009C,complete,available,0.634224989,L5,Martinotti,Fast spiking,20,10,15,,VIP+
20071010A,complete,available,0.642934172,L5,Large Basket,Adapting,15,7,14,,SST+
